subset,class,filename,width,height,aspect_ratio,format,file_size_kb
train,Acne,acne-cystic-54.jpeg,720,474,1.518987341772152,JPEG,111.8017578125
train,Acne,acne-closed-comedo-11.jpeg,720,487,1.4784394250513346,JPEG,96.8134765625
train,Acne,acne-excoriated-22.jpeg,720,496,1.4516129032258065,JPEG,72.3203125
train,Acne,acne-open-comedo-42.jpeg,720,472,1.5254237288135593,JPEG,92.638671875
train,Acne,acne-open-comedo-54.jpeg,720,462,1.5584415584415585,JPEG,102.734375
train,Acne,acne-face-11-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,18.8828125
train,Acne,acne-open-comedo-28.jpeg,720,468,1.5384615384615385,JPEG,96.2353515625
train,Acne,acne-cystic-19.jpeg,720,480,1.5,JPEG,91.9794921875
train,Acne,acne-face-13__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,22.2724609375
train,Acne,acne-cystic-114.jpeg,720,487,1.4784394250513346,JPEG,102.37890625
train,Acne,acne-cystic-39.jpeg,720,472,1.5254237288135593,JPEG,77.828125
train,Acne,acne-face-1-52__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,16.8369140625
train,Acne,acne-comedones-57-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE3XQ.jpeg,294,222,1.3243243243243243,JPEG,17.30859375
train,Acne,acne-face-21-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,22.595703125
train,Acne,acne-cystic-85.jpeg,720,463,1.5550755939524838,JPEG,106.0810546875
train,Acne,acne-face-50__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,15.4970703125
train,Acne,acne-cystic-28.jpeg,720,472,1.5254237288135593,JPEG,76.08203125
train,Acne,07Acne081101.jpeg,720,472,1.5254237288135593,JPEG,83.9697265625
train,Acne,acne-open-comedo-56.jpeg,720,463,1.5550755939524838,JPEG,86.8076171875
train,Acne,acne-face-47__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,18.0380859375
train,Acne,acne-cystic-115.jpeg,720,485,1.4845360824742269,JPEG,103.49609375
train,Acne,acne-face-3-7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,15.775390625
train,Acne,acne-cystic-137.jpeg,480,720,0.6666666666666666,JPEG,74.3564453125
train,Acne,07AcnePittedScars1.jpeg,720,472,1.5254237288135593,JPEG,97.2177734375
train,Acne,acne-face-1-14__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE4XQ.jpeg,294,222,1.3243243243243243,JPEG,15.6064453125
train,Acne,acne-pustular-38.jpeg,720,461,1.561822125813449,JPEG,70.0029296875
train,Acne,acne-cystic-100.jpeg,484,720,0.6722222222222223,JPEG,68.921875
train,Acne,acne-face-1-11__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE4XQ.jpeg,294,222,1.3243243243243243,JPEG,17.2490234375
train,Acne,acne-face-1-28__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,21.29296875
train,Acne,acne-face-6-3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,19.685546875
train,Acne,acne-cystic-130.jpeg,720,472,1.5254237288135593,JPEG,103.396484375
train,Acne,acne-excoriated-21.jpeg,720,477,1.509433962264151,JPEG,75.5654296875
train,Acne,acne-infantile-13.jpeg,720,514,1.4007782101167314,JPEG,73.5341796875
