,precision,recall,f1-score,support
Acne,0.0,0.0,0.0,65.0
Actinic_Keratosis,0.0,0.0,0.0,83.0
Benign_tumors,0.0,0.0,0.0,121.0
Bullous,0.0,0.0,0.0,55.0
Candidiasis,0.0,0.0,0.0,27.0
DrugEruption,0.0,0.0,0.0,61.0
Eczema,0.0,0.0,0.0,112.0
Infestations_Bites,0.0,0.0,0.0,60.0
Lichen,0.0,0.0,0.0,61.0
Lupus,0.0,0.0,0.0,34.0
Moles,0.0,0.0,0.0,40.0
Psoriasis,0.0,0.0,0.0,88.0
Rosacea,0.0,0.0,0.0,28.0
Seborrh_Keratoses,0.0,0.0,0.0,51.0
SkinCancer,0.0,0.0,0.0,77.0
Sun_Sunlight_Damage,0.0,0.0,0.0,34.0
Tinea,0.0,0.0,0.0,102.0
Unknown_Normal,0.1222509702457956,1.0,0.21786743515850143,189.0
Vascular_Tumors,0.0,0.0,0.0,60.0
Vasculitis,0.0,0.0,0.0,52.0
Vitiligo,0.0,0.0,0.0,82.0
Warts,0.0,0.0,0.0,64.0
accuracy,0.1222509702457956,0.1222509702457956,0.1222509702457956,0.1222509702457956
macro avg,0.0055568622838998005,0.045454545454545456,0.009903065234477338,1546.0
weighted avg,0.014945299726038402,0.1222509702457956,0.02663450533308976,1546.0
